name,affiliation,position,district,party,twitterHandle,website,email
逢沢 一郎,自民,衆議院議員,岡山1,,https://x.com/ichiroaisawa,https://www.aisawa.net/,
青柳 仁士,維新,衆議院議員,大阪14,,https://x.com/aoyagi_h,https://aoyagi-h.com/,
青柳 陽一郎,立憲,衆議院議員,神奈川6,,https://x.com/aoyagy,https://aoyagy.net/profile,
青山 大人,立憲,衆議院議員,茨城6,,https://x.com/aoyamayamato,https://cdp-japan.jp/member/3019,
赤澤 亮正,自民,衆議院議員,鳥取2,,見つかりませんでした,https://www.ryosei-akazawa.com/book/,
赤羽 一嘉,公明,衆議院議員,兵庫2,,https://x.com/AKBhyogo2ku,https://www.akaba-now.com/%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB/,
あかま 二郎,自民,衆議院議員,神奈川14,,https://x.com/jiroakama0327,https://www.akama.jp/,
赤嶺 政賢,共産,衆議院議員,沖縄1,,https://x.com/akamineseiken,https://akamine-seiken.jp/about/,
阿久津 幸彦,立憲,衆議院議員,東京11,,https://x.com/akutsu0626,https://y-akutsu.jp/profile/,
浅野 哲,国民,衆議院議員,茨城5,,https://x.com/Asano__Satoshi,https://asanosatoshi.com/,
東 克哉,立憲,衆議院議員,（比）中国,,見つかりませんでした,https://cdp-japan.jp/member/5629,
東 国幹,自民,衆議院議員,北海道6,,https://x.com/azuma0217,https://www.jimin.jp/member/202132.html,
東 徹,維新,衆議院議員,大阪3,,https://twitter.com/toru_azuma/,https://www.azuma-toru.com/profile,
安住 淳,立憲,衆議院議員,宮城4,,見つかりませんでした,https://azumi-jun.jp/profile/,
麻生 太郎,自民,衆議院議員,福岡8,,https://x.com/aso_tarou,http://aso-taro.jp/profile/index.html,
阿部 圭史,維新,衆議院議員,（比）近畿,,https://x.com/abe_keishi,https://www.abekeishi.com/,
阿部 司,維新,衆議院議員,（比）東京,,https://x.com/abe2kasa,https://www.abetsukasa.jp/,
あべ 俊子,自民,衆議院議員,（比）九州,,https://x.com/abetoshiko,https://www.abetoshiko.com/,
阿部 知子,立憲,衆議院議員,神奈川12,,https://x.com/abe_tomoko,https://www.abetomoko.jp/profile,
阿部 弘樹,改革,衆議院議員,（比）九州,,https://x.com/HirokiAbe1961,https://hirokiabe.jp/,
阿部 祐美子,立憲,衆議院議員,（比）東京,,https://x.com/abe_shinagawa,https://abeyumiko.com/profile,
荒井 優,立憲,衆議院議員,北海道3,,見つかりませんでした,https://cdp-japan.jp/member/4085,
新垣 邦男,立憲,衆議院議員,沖縄2,,見つかりませんでした,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/025.html,
有田 芳生,立憲,衆議院議員,（比）東京,,https://x.com/aritayoshifu,http://arita-yoshifu.com/,
安藤じゅん子,立憲,衆議院議員,千葉6,,https://x.com/andojunko,https://andojunko.net/profile/,
安藤 たかお,自民,衆議院議員,（比）東京,,https://x.com/AndoTakao1959,https://andotakao.jp/profile/,
五十嵐 えり,立憲,衆議院議員,東京30,,https://x.com/Igarashi_Eri,https://igarashi-eri.com/profile/,
五十嵐 清,自民,衆議院議員,（比）北関東,,見つかりませんでした,https://kiyoshi-igarashi.com/profile_/,
池下 卓,維新,衆議院議員,大阪10,,https://x.com/iketaku_0410,https://www.iketaku.jp/profile,
池田 真紀,立憲,衆議院議員,北海道5,,https://x.com/ikemakihonki,https://ikemaki.jp/profile.html,
池畑 浩太朗,維新,衆議院議員,（比）近畿,,https://x.com/vgz20ydbf5ouj4c,https://ikehata-koutarou.jp/about/profile/,
井坂 信彦,立憲,衆議院議員,兵庫1,,https://x.com/isakanobuhiko,https://isaka-nobuhiko.jp/profile.html,
石井 智恵,国民,衆議院議員,（比）四国,,https://x.com/tomoekakuda,https://ishiitomoe.com/,
石川 香織,立憲,衆議院議員,北海道11,,https://x.com/IshikawaKaori11,https://ishikawa-kaori.net/,
石田 真敏,自民,衆議院議員,（比）近畿,,https://x.com/ishidamasatoshi,https://ishida-masatoshi.net/profile/,
石破 茂,自民,衆議院議員,鳥取1,,https://x.com/shigeruishiba,https://www.ishiba.com/profile-2/,
石橋 林太郎,自民,衆議院議員,（比）中国,,https://x.com/1484_Rintaro,https://ishibashirintaro.com/profile.html,
